SkyId,pred_x1,pred_y1,pred_x2,pred_y2,pred_x3, pred_y3
Sky1,1900.0,900.0,0.0,0.0,0.0,0.0
Sky2,3500.0,1900.0,0.0,0.0,0.0,0.0
Sky3,2300.0,1200.0,0.0,0.0,0.0,0.0
Sky4,1500.0,1600.0,0.0,0.0,0.0,0.0
Sky5,3000.0,2000.0,0.0,0.0,0.0,0.0
Sky6,4100.0,3000.0,0.0,0.0,0.0,0.0
Sky7,3100.0,1800.0,0.0,0.0,0.0,0.0
Sky8,900.0,2900.0,0.0,0.0,0.0,0.0
Sky9,2700.0,2800.0,0.0,0.0,0.0,0.0
Sky10,4000.0,600.0,0.0,0.0,0.0,0.0
Sky11,3100.0,2100.0,0.0,0.0,0.0,0.0
Sky12,700.0,3300.0,0.0,0.0,0.0,0.0
Sky13,3500.0,1400.0,0.0,0.0,0.0,0.0
Sky14,1000.0,4100.0,0.0,0.0,0.0,0.0
Sky15,1700.0,0.0,0.0,0.0,0.0,0.0
Sky16,2200.0,1500.0,0.0,0.0,0.0,0.0
Sky17,2900.0,3600.0,0.0,0.0,0.0,0.0
Sky18,100.0,3900.0,0.0,0.0,0.0,0.0
Sky19,3800.0,2200.0,0.0,0.0,0.0,0.0
Sky20,1800.0,3200.0,0.0,0.0,0.0,0.0
Sky21,2600.0,2100.0,0.0,0.0,0.0,0.0
Sky22,3100.0,1300.0,0.0,0.0,0.0,0.0
Sky23,3500.0,100.0,0.0,0.0,0.0,0.0
Sky24,800.0,2100.0,0.0,0.0,0.0,0.0
Sky25,2800.0,2600.0,0.0,0.0,0.0,0.0
Sky26,1700.0,2900.0,0.0,0.0,0.0,0.0
Sky27,700.0,2900.0,0.0,0.0,0.0,0.0
Sky28,2000.0,3500.0,0.0,0.0,0.0,0.0
Sky29,300.0,800.0,0.0,0.0,0.0,0.0
Sky30,3300.0,2800.0,0.0,0.0,0.0,0.0
Sky31,3300.0,0.0,0.0,0.0,0.0,0.0
Sky32,2100.0,2700.0,0.0,0.0,0.0,0.0
Sky33,2300.0,100.0,0.0,0.0,0.0,0.0
Sky34,2000.0,1300.0,0.0,0.0,0.0,0.0
Sky35,2100.0,2300.0,0.0,0.0,0.0,0.0
Sky36,1800.0,4000.0,0.0,0.0,0.0,0.0
Sky37,1600.0,1600.0,0.0,0.0,0.0,0.0
Sky38,100.0,2500.0,0.0,0.0,0.0,0.0
Sky39,4100.0,3900.0,0.0,0.0,0.0,0.0
Sky40,1400.0,200.0,0.0,0.0,0.0,0.0
Sky41,1400.0,900.0,0.0,0.0,0.0,0.0
Sky42,2300.0,3900.0,0.0,0.0,0.0,0.0
Sky43,1400.0,1800.0,0.0,0.0,0.0,0.0
Sky44,3500.0,3100.0,0.0,0.0,0.0,0.0
Sky45,1000.0,3400.0,0.0,0.0,0.0,0.0
Sky46,3200.0,1900.0,0.0,0.0,0.0,0.0
Sky47,3300.0,2200.0,0.0,0.0,0.0,0.0
Sky48,2100.0,3000.0,0.0,0.0,0.0,0.0
Sky49,2100.0,3900.0,0.0,0.0,0.0,0.0
Sky50,2400.0,1000.0,0.0,0.0,0.0,0.0
Sky51,600.0,900.0,0.0,0.0,0.0,0.0
Sky52,1400.0,2100.0,0.0,0.0,0.0,0.0
Sky53,2200.0,1400.0,0.0,0.0,0.0,0.0
Sky54,1200.0,300.0,0.0,0.0,0.0,0.0
Sky55,2400.0,3000.0,0.0,0.0,0.0,0.0
Sky56,0.0,3500.0,0.0,0.0,0.0,0.0
Sky57,100.0,1000.0,0.0,0.0,0.0,0.0
Sky58,2300.0,3600.0,0.0,0.0,0.0,0.0
Sky59,700.0,3800.0,0.0,0.0,0.0,0.0
Sky60,3100.0,4000.0,0.0,0.0,0.0,0.0
Sky61,3300.0,800.0,0.0,0.0,0.0,0.0
Sky62,800.0,3100.0,0.0,0.0,0.0,0.0
Sky63,500.0,2200.0,0.0,0.0,0.0,0.0
Sky64,3300.0,800.0,0.0,0.0,0.0,0.0
Sky65,2700.0,1700.0,0.0,0.0,0.0,0.0
Sky66,4000.0,1800.0,0.0,0.0,0.0,0.0
Sky67,1900.0,3900.0,0.0,0.0,0.0,0.0
Sky68,3200.0,1100.0,0.0,0.0,0.0,0.0
Sky69,2900.0,1800.0,0.0,0.0,0.0,0.0
Sky70,2700.0,1500.0,0.0,0.0,0.0,0.0
Sky71,3200.0,300.0,0.0,0.0,0.0,0.0
Sky72,3600.0,3500.0,0.0,0.0,0.0,0.0
Sky73,1700.0,1300.0,0.0,0.0,0.0,0.0
Sky74,2300.0,3100.0,0.0,0.0,0.0,0.0
Sky75,0.0,400.0,0.0,0.0,0.0,0.0
Sky76,1000.0,3700.0,0.0,0.0,0.0,0.0
Sky77,1900.0,2100.0,0.0,0.0,0.0,0.0
Sky78,500.0,1700.0,0.0,0.0,0.0,0.0
Sky79,3200.0,500.0,0.0,0.0,0.0,0.0
Sky80,2900.0,100.0,0.0,0.0,0.0,0.0
Sky81,600.0,1300.0,0.0,0.0,0.0,0.0
Sky82,4000.0,3700.0,0.0,0.0,0.0,0.0
Sky83,2400.0,2300.0,0.0,0.0,0.0,0.0
Sky84,3100.0,3900.0,0.0,0.0,0.0,0.0
Sky85,1800.0,2500.0,0.0,0.0,0.0,0.0
Sky86,100.0,3100.0,0.0,0.0,0.0,0.0
Sky87,3400.0,3000.0,0.0,0.0,0.0,0.0
Sky88,1700.0,500.0,0.0,0.0,0.0,0.0
Sky89,3400.0,2300.0,0.0,0.0,0.0,0.0
Sky90,600.0,1900.0,0.0,0.0,0.0,0.0
Sky91,800.0,3000.0,0.0,0.0,0.0,0.0
Sky92,2700.0,3400.0,0.0,0.0,0.0,0.0
Sky93,2000.0,2300.0,0.0,0.0,0.0,0.0
Sky94,4100.0,3600.0,0.0,0.0,0.0,0.0
Sky95,3600.0,3500.0,0.0,0.0,0.0,0.0
Sky96,3400.0,3100.0,0.0,0.0,0.0,0.0
Sky97,500.0,100.0,0.0,0.0,0.0,0.0
Sky98,2900.0,3800.0,0.0,0.0,0.0,0.0
Sky99,3300.0,2700.0,0.0,0.0,0.0,0.0
Sky100,3800.0,1000.0,0.0,0.0,0.0,0.0
Sky101,3700.0,200.0,4100.0,0.0,0.0,0.0
Sky102,0.0,800.0,1800.0,500.0,0.0,0.0
Sky103,1800.0,2400.0,2300.0,2200.0,0.0,0.0
Sky104,500.0,2500.0,200.0,2300.0,0.0,0.0
Sky105,1200.0,2800.0,4100.0,1100.0,0.0,0.0
Sky106,400.0,3300.0,200.0,3200.0,0.0,0.0
Sky107,3800.0,3200.0,3000.0,3600.0,0.0,0.0
Sky108,1900.0,1100.0,2300.0,1500.0,0.0,0.0
Sky109,400.0,1200.0,0.0,100.0,0.0,0.0
Sky110,500.0,1800.0,800.0,1100.0,0.0,0.0
Sky111,4100.0,2400.0,4000.0,3000.0,0.0,0.0
Sky112,700.0,600.0,0.0,200.0,0.0,0.0
Sky113,1500.0,500.0,1700.0,300.0,0.0,0.0
Sky114,1700.0,2300.0,1700.0,2100.0,0.0,0.0
Sky115,3300.0,2300.0,3700.0,1900.0,0.0,0.0
Sky116,3300.0,3500.0,3800.0,4000.0,0.0,0.0
Sky117,2900.0,1300.0,3500.0,1600.0,0.0,0.0
