SkyId,numberHalos,x_ref,y_ref,halo_x1,halo_y1,halo_x2,halo_y2,halo_x3,halo_y3
Sky1,1,1086.8,1114.61,1086.8,1114.61,0,0,0,0
Sky2,1,3477.71,1907.33,3477.71,1907.33,0,0,0,0
Sky3,1,2315.78,1081.95,2315.78,1081.95,0,0,0,0
Sky4,1,1408.61,1685.86,1408.61,1685.86,0,0,0,0
Sky5,1,3091.65,2001.08,3091.65,2001.08,0,0,0,0
Sky6,1,4129.17,3097.58,4129.17,3097.58,0,0,0,0
Sky7,1,3124.25,1787.56,3124.25,1787.56,0,0,0,0
Sky8,1,942.51,2909.72,942.51,2909.72,0,0,0,0
Sky9,1,2556.11,2645.23,2556.11,2645.23,0,0,0,0
Sky10,1,3960.1,622.67,3960.1,622.67,0,0,0,0
Sky11,1,3069.86,2090.57,3069.86,2090.57,0,0,0,0
Sky12,1,599.75,3236.08,599.75,3236.08,0,0,0,0
Sky13,1,3551.9,1429.02,3551.9,1429.02,0,0,0,0
Sky14,1,1738.48,4000.01,1738.48,4000.01,0,0,0,0
Sky15,1,1613.07,0.62,1613.07,0.62,0,0,0,0
Sky16,1,2476.41,1550.01,2476.41,1550.01,0,0,0,0
Sky17,1,2915.74,3655.42,2915.74,3655.42,0,0,0,0
Sky18,1,1065.23,3784.81,1065.23,3784.81,0,0,0,0
Sky19,1,3823.16,2237.95,3823.16,2237.95,0,0,0,0
Sky20,1,31.42,4197.65,31.42,4197.65,0,0,0,0
Sky21,1,2672.81,2115.98,2672.81,2115.98,0,0,0,0
Sky22,1,2920.45,1352.51,2920.45,1352.51,0,0,0,0
Sky23,1,3499.76,32.99,3499.76,32.99,0,0,0,0
Sky24,1,763.57,2103.49,763.57,2103.49,0,0,0,0
Sky25,1,2856.37,2567.43,2856.37,2567.43,0,0,0,0
Sky26,1,1754.64,2964.13,1754.64,2964.13,0,0,0,0
Sky27,1,723.33,2933.69,723.33,2933.69,0,0,0,0
Sky28,1,1869.33,3540.8,1869.33,3540.8,0,0,0,0
Sky29,1,257.63,860.01,257.63,860.01,0,0,0,0
Sky30,1,3276.28,2791.57,3276.28,2791.57,0,0,0,0
Sky31,1,27.72,4047.21,27.72,4047.21,0,0,0,0
Sky32,1,2124.46,2690.81,2124.46,2690.81,0,0,0,0
Sky33,1,2328.73,180.12,2328.73,180.12,0,0,0,0
Sky34,1,1974.29,1250.8,1974.29,1250.8,0,0,0,0
Sky35,1,2082.12,2303.05,2082.12,2303.05,0,0,0,0
Sky36,1,1600.13,3561.65,1600.13,3561.65,0,0,0,0
Sky37,1,1600.18,1596.77,1600.18,1596.77,0,0,0,0
Sky38,1,96.97,2506.7,96.97,2506.7,0,0,0,0
Sky39,1,4055.27,4036.97,4055.27,4036.97,0,0,0,0
Sky40,1,1375.15,451.95,1375.15,451.95,0,0,0,0
Sky41,1,1446.47,923.23,1446.47,923.23,0,0,0,0
Sky42,1,2276.07,3782.16,2276.07,3782.16,0,0,0,0
Sky43,1,1380.99,1823.89,1380.99,1823.89,0,0,0,0
Sky44,1,3562.4,2992.25,3562.4,2992.25,0,0,0,0
Sky45,1,730.51,3579.06,730.51,3579.06,0,0,0,0
Sky46,1,3213.63,1925.18,3213.63,1925.18,0,0,0,0
Sky47,1,3291.09,2155.31,3291.09,2155.31,0,0,0,0
Sky48,1,2088.12,2931.84,2088.12,2931.84,0,0,0,0
Sky49,1,2040.6,3795.89,2040.6,3795.89,0,0,0,0
Sky50,1,2338.84,1039.43,2338.84,1039.43,0,0,0,0
Sky51,1,545.5,969.24,545.5,969.24,0,0,0,0
Sky52,1,1253.48,2143.11,1253.48,2143.11,0,0,0,0
Sky53,1,2202.15,1456.83,2202.15,1456.83,0,0,0,0
Sky54,1,1141.01,361.9,1141.01,361.9,0,0,0,0
Sky55,1,2483.21,2926.96,2483.21,2926.96,0,0,0,0
Sky56,1,77.6,4136.84,77.6,4136.84,0,0,0,0
Sky57,1,126.29,1106.39,126.29,1106.39,0,0,0,0
Sky58,1,2391.73,3569.88,2391.73,3569.88,0,0,0,0
Sky59,1,739.6,3803.98,739.6,3803.98,0,0,0,0
Sky60,1,2886.8,4170.15,2886.8,4170.15,0,0,0,0
Sky61,1,3399.88,792.21,3399.88,792.21,0,0,0,0
Sky62,1,1125.91,3082.58,1125.91,3082.58,0,0,0,0
Sky63,1,472.99,2221.15,472.99,2221.15,0,0,0,0
Sky64,1,3296.92,783.17,3296.92,783.17,0,0,0,0
Sky65,1,2679.16,1743.54,2679.16,1743.54,0,0,0,0
Sky66,1,4156.44,1563.79,4156.44,1563.79,0,0,0,0
Sky67,1,1898.73,3827.57,1898.73,3827.57,0,0,0,0
Sky68,1,3220.35,1084.54,3220.35,1084.54,0,0,0,0
Sky69,1,2903.91,1720.97,2903.91,1720.97,0,0,0,0
Sky70,1,2649.29,1443.47,2649.29,1443.47,0,0,0,0
Sky71,1,3289.63,322.14,3289.63,322.14,0,0,0,0
Sky72,1,3622.75,3445.56,3622.75,3445.56,0,0,0,0
Sky73,1,1618.52,1332.46,1618.52,1332.46,0,0,0,0
